bl_number,service_order_id,service_order_type,container_no,container_type,trucking_vendor_name,from_location,to_location,requested_date,defect_count,defect_code,milestone_id,milestone_description,milestone_date,notes,sort_order
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,MRKU4323005,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,e2fdad3c-1e7d-41ea-ab15-18326fd8770f,"Shipment pullout date",2021-05-25,P/O,10
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,MRKU4323005,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,8b278c7a-8c9c-4e24-ab6e-22b909ef3f88,"Actual Delivery Date",2021-05-25,ADD,20
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,MRKU4323005,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,a6e8e8e9-7d5f-48b7-8e53-3b0290418bd7,"Empty return date",2021-05-25,E/R,30
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,MRKU4323005,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,5df62fbf-4bd7-4eb1-8ace-b205b5e8ae88,"Post shipment document upload date",2021-05-25,P/S,40
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,PONU7350773,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,8adc35bb-8886-468b-abc8-12bda8d09a10,"Shipment pullout date",2021-05-25,P/O,10
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,PONU7350773,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,b8e072e8-9833-4de2-8424-19221875ff8a,"Actual Delivery Date",2021-05-25,ADD,20
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,PONU7350773,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,8a5543ce-b236-47c0-b649-a46f8f4d2c8d,"Empty return date",2021-05-25,E/R,30
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,PONU7350773,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,06bcbb8c-b7a9-4b26-96ea-601fc20b6695,"Post shipment document upload date",2021-05-25,P/S,40
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,TCKU7073210,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,c4de62f8-2e01-42f9-afb2-ab3979385487,"Shipment pullout date",2021-05-25,P/O,10
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,TCKU7073210,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,efb125b1-b24c-47c1-867f-8d91812b4d8a,"Actual Delivery Date",2021-05-25,ADD,20
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,TCKU7073210,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,2fa8e5c8-8f3a-48e4-8746-0b4c627bb144,"Empty return date",2021-05-25,E/R,30
208234406,5ce44bf9-7510-4e8e-8fb2-8ebfe2193c68,TRK,TCKU7073210,DRY,SBT-LEASED,KAP,KAP,2021-05-25,0,D01,7d703f4b-704d-4400-8508-e3ca0e84b763,"Post shipment document upload date",2021-05-25,P/S,40
